"","hashtag","freq","cat"
"1","#allertameteopm",2225,"Emergency"
"2","#allertameteopie",887,"Emergency"
"3","#allertameteolig",222,"Emergency"
"4","#maltempo",200,"Weather"
"5","#alessandria",103,"Places"
"6","#piemonte",102,"Places"
"7","#allertameteo",60,"Emergency"
"8","#viabilità",58,"others"
"9","#gavi",53,"Places"
"10","#po",52,"Places"
"11","#orba",51,"Places"
"12","#allertameteop",50,"others"
"13","#predosa",50,"Places"
"14","#arquatascrivia",49,"Places"
"15","#allertameteolom",48,"Emergency"
"16","#a",44,"others"
"17","#alessandrino",42,"Places"
"18","#verbania",41,"Places"
"19","#allertame",40,"others"
"20","#torino",37,"Places"
"21","#protezionecivile",31,"Institution"
"22","#allerta",28,"Emergency"
"23","#all",25,"others"
"24","#meteo",23,"Weather"
"25","#lagomaggiore",22,"Places"
"26","#cuneo",21,"Places"
"27","#alle",20,"others"
"28","#arpapiemonte",20,"Institution"
"29","#murazzi",18,"Places"
"30","#omegna",18,"Places"
"31","#tanaro",18,"Places"
"32","#allertameteopug",17,"Emergency"
"33","#genova",17,"Places"
"34","#pioggia",17,"Weather"
"35","#alluvionechiavari",16,"Emergency"
"36","#chiavari",16,"Places"
"37","#allertameteotanaro",15,"Places"
"38","#allert",13,"others"
"39","#bormida",13,"Places"
"40","#nizza",13,"Places"
"41","#spinettamarengo",13,"Places"
"42","#allertameteotos",11,"Emergency"
"43","#ovada",11,"Places"
"44","#vco",11,"Places"
"45","#allertamete",10,"others"
"46","#bassoalessandrino",9,"Places"
"47","#novara",9,"Places"
"48","#allertamet",8,"others"
"49","#allertameteol",8,"others"
"50","#alluvioneliguria",8,"Emergency"
"51","#crocerossa",8,"Institution"
"52","#novi",8,"Places"
"53","#protezionecivilecn",8,"Emergency"
"54","#a7",7,"Mobility"
"55","#asti",7,"Places"
"56","#risknat",7,"Institution"
"57","#tortona",7,"Places"
"58","#treni",7,"Mobility"
"59","#aller",6,"others"
"60","#allertam",6,"others"
"61","#allertameteoven",6,"Emergency"
"62","#brattello",6,"Places"
"63","#crescentino",6,"Places"
"64","#cri",6,"Institution"
"65","#giaveno",6,"Places"
"66","#meteopiemonte",6,"Places"
"67","#mondovì",6,"others"
"68","#pienapo",6,"Emergency"
"69","#pontremoli",6,"Places"
"70","#puglia",6,"Places"
"71","#verbano",6,"Places"
"72","#allertameteoer",5,"Emergency"
"73","#arona",5,"Places"
"74","#arpapiemon",5,"others"
"75","#biella",5,"Places"
"76","#casalnoceto",5,"Places"
"77","#castelnuovo",5,"Places"
"78","#danni",5,"Emergency"
"79","#garessio",5,"Places"
"80","#milano",5,"Places"
"81","#sp35",5,"Mobility"
"82","#stazzano",5,"Places"
"83","#al",4,"others"
"84","#allertametopie",4,"Emergency"
"85","#allertmeteopie",4,"Emergency"
"86","#alluvione",4,"Emergency"
"87","#arpa",4,"Institution"
"88","#belbo",4,"Places"
"89","#boscomarengo",4,"Places"
"90","#brindisi",4,"Places"
"91","#lovassina",4,"Places"
"92","#malerba",4,"Places"
"93","#sfollati",4,"others"
"94","#socialprociv",4,"Emergency"
"95","#st",4,"others"
"96","#taranto",4,"Places"
"97","#allertameteono",3,"Emergency"
"98","#fail",3,"others"
"99","#golfodianese",3,"Places"
"100","#italia",3,"Places"
"101","#lemme",3,"Places"
"102","#masone",3,"Places"
"103","#moncalieri",3,"Places"
"104","#noviligure",3,"Places"
"105","#ormea",3,"Places"
"106","#provinciaalessandria",3,"Places"
"107","#s",3,"others"
"108","#serravalle",3,"Places"
"109","#sp158",3,"Mobility"
"110","#a26",2,"Mobility"
"111","#acqua",2,"others"
"112","#acqui",2,"Places"
"113","#allagamento",2,"Emergency"
"114","#allertalig",2,"Emergency"
"115","#allertameteobiella",2,"Emergency"
"116","#alluvionegenova",2,"Emergency"
"117","#casalbagliano",2,"Places"
"118","#castellaneta",2,"Places"
"119","#centrosud",2,"others"
"120","#cirimilla",2,"Places"
"121","#frana",2,"Emergency"
"122","#langhe",2,"Places"
"123","#lerma",2,"Places"
"124","#link",2,"others"
"125","#news",2,"others"
"126","#ponente",2,"others"
"127","#primavera",2,"others"
"128","#riolovassina",2,"Places"
"129","#roero",2,"Places"
"130","#sancristoforo",2,"Places"
"131","#scuole",2,"others"
"132","#sp120",2,"Mobility"
"133","#sp135",2,"Mobility"
"134","#sp171",2,"Mobility"
"135","#sp98",2,"Mobility"
"136","#sp99",2,"Mobility"
"137","#ss28",2,"Mobility"
"138","#stresa",2,"Places"
"139","#stura",2,"Places"
"140","#svizzera",2,"Places"
"141","#tagliolo",2,"Places"
"142","#verbani",2,"others"
"143","#acquapotabile",1,"Mobility"
"144","#alelrtameteopie",1,"Emergency"
"145","#allerta2",1,"Emergency"
"146","#allertameteolaz",1,"Emergency"
"147","#allertameteopiem",1,"Emergency"
"148","#allertametepie",1,"Emergency"
"149","#alluvionepm",1,"Emergency"
"150","#altovergante",1,"Places"
"151","#arginideifiumi",1,"Mobility"
"152","#biellese",1,"Places"
"153","#borghettoborbera",1,"Places"
"154","#brovello",1,"Places"
"155","#bus",1,"Mobility"
"156","#canale",1,"others"
"157","#cannero",1,"Places"
"158","#cantonieri",1,"Institution"
"159","#carpugnino",1,"Places"
"160","#carrara",1,"Places"
"161","#casalcermelli",1,"Places"
"162","#casasco",1,"Places"
"163","#cassano",1,"Places"
"164","#coazze",1,"Places"
"165","#com8",1,"Emergency"
"166","#dissesto",1,"Emergency"
"167","#giornaleprociv",1,"Media"
"168","#ilgiornodopo",1,"others"
"169","#ilmeteo",1,"Media"
"170","#lagodorta",1,"Places"
"171","#ligozzo",1,"Places"
"172","#liguria",1,"Places"
"173","#molini",1,"others"
"174","#monserito",1,"Places"
"175","#montecastello",1,"Places"
"176","#neirone",1,"Places"
"177","#nonsenepuòpiù",1,"others"
"178","#ossona",1,"Places"
"179","#paura",1,"others"
"180","#pietramarazzi",1,"others"
"181","#piogge",1,"Weather"
"182","#piovera",1,"Places"
"183","#rain",1,"Weather"
"184","#reano",1,"Places"
"185","#rivarone",1,"Places"
"186","#roccagrimalda",1,"Places"
"187","#roma",1,"Places"
"188","#sangano",1,"Places"
"189","#scrivia",1,"Places"
"190","#scuola",1,"others"
"191","#sesia",1,"Places"
"192","#sp100",1,"Mobility"
"193","#sp109",1,"Mobility"
"194","#sp119",1,"Mobility"
"195","#sp130",1,"Mobility"
"196","#sp138",1,"Mobility"
"197","#sp139",1,"Mobility"
"198","#sp140",1,"Mobility"
"199","#sp160",1,"Mobility"
"200","#sp161",1,"Mobility"
"201","#sp166",1,"Mobility"
"202","#sp176",1,"Mobility"
"203","#sp199",1,"Mobility"
"204","#sp242",1,"Mobility"
"205","#squadra17",1,"others"
"206","#ss34",1,"Mobility"
"207","#stateacasa",1,"Emergency"
"208","#torrenteagogna",1,"Places"
"209","#toscana",1,"Places"
"210","#trana",1,"others"
"211","#valgioie",1,"Places"
"212","#valle",1,"others"
"213","#valsangone",1,"Places"
"214","#valsesia",1,"Places"
"215","#vercelli",1,"Places"
"216","#vergante",1,"Places"
"217","#viabilita",1,"Mobility"
"218","#volontari",1,"Emergency"
